Avenue of the Giants Marathon,5/6/2018,Eureka,CA,36,http://www.theave.org/,ave-giants.jpg,48
Bakersfield Marathon,11/12/2017,Bakersfield,CA,1,https://runsignup.com/Race/CA/Bakersfield/BakersfieldMarathonandHalf,barber-honda-bakersfield-marathon.jpg,63.5
Cal-Neva Marathon,10/14/2017,Lake Tahoe,CA,37,http://www.laketahoemarathon.com/cal-neva,lake-tahoe.jpg,46
California International Marathon,12/3/2017,Sacramento,CA,2,https://runsra.org/california-international-marathon/,california-international.jpg,41.5
Big Sur International Marathon,4/29/2018,Carmel,CA,3,http://www.bsim.org/site3.aspx,big-sur.jpg,51.5
Bizz Johnson Trail Marathon,10/8/2017,Susanville,CA,21,http://www.coastaltrailruns.com/bizz_johnson.html,bizz-johnson.jpg,39.5
Carlsbad Marathon,1/14/2018,Carlsbad,CA,22,http://www.carlsbadmarathon.com/#,carlsbad.jpg,51
Catalina Marathon,3/10/2018,Catalina,CA,26,http://spectrumsportsevents.com/catalina-island-marathon?RL=1,catalina-marathon.jpg,68
Cloverdale Harvest Marathon,10/22/2017,Cloverdale,CA,4,https://www.halfmarathons.net/california-cloverdale-harvest-marathon-half-marathon-10k/,cloverdale-harvest.jpg,52.5
Death Valley Trail Marathon,12/2/2017,Death Valley,CA,23,https://raceroster.com/events/2018/12132/2018-death-valley-marathon-half-marathon-10k,death-valley-trial.jpg,38.5
Golden Gate Headlands Marathon,3/31/2018,Sausalito,CA,29,https://raceroster.com/events/2018/12895/2018-golden-gate-headlands-marathon-half-marathon-10k?RL=1,enviro-sports-death-valley-borax.jpg,58.5
Muir Woods Trail Marathon,5/12/2018,Stinson Beach,CA,39,https://raceroster.com/events/2018/13263/2018-muir-woods-marathon-half-marathon-7-mile?RL=1,enviro-sports-golden-gate-headlands.jpg,49
Napa Valley Trail Marathon,3/17/2018,Calistoga,CA,32,https://raceroster.com/events/2018/12894/2018-napa-valley-trail-marathon-half-marathon-10k?RL=1,enviro-sports-muir-woods-trail.jpg,50
Death Valley Borax Marathon,2/3/2018,Death Valley,CA,28,https://raceroster.com/events/2018/12132/2018-death-valley-marathon-half-marathon-10k,enviro-sports-napa-valley-trail.jpg,49
Humboldt Redwoods Marathon,10/15/2017,Weott,CA,5,http://www.redwoodsmarathon.org/,homboldt-redwoods.jpg,55.5
Napa Valley Marathon,3/4/2018,Napa,CA,31,http://napavalleymarathon.org/?RL=1,kaiser-permanente-health-care-napa-valley.jpg,48.5
Lake Chabot Trail Marathon,11/4/2017,Castro Valley,CA,6,http://www.cvtrackclub.com/trailchallenge.html,lake-chabot.jpg,57.5
Lake Tahoe Marathon,10/15/2017,South Lake Tahoe,CA,7,http://www.laketahoemarathon.com/,lake-tahoe.jpg,47
Lakeside Marathon,10/13/2017,Lake Tahoe,CA,8,https://worldsmarathons.com/marathon/lakeside-marathon,Lakeside.jpg,41.5
Long Beach Marathon,10/8/2017,Long Beach,CA,9,https://www.motivrunning.com/run-longbeach/,long-beach.jpg,67
Morgan Hill Marathon,10/22/2017,Morgan Hill,CA,10,http://www.mhmarathon.com/,morgan-hill.jpg,55
Mountains 2 Beach Marathon,5/27/2018,Ojai,CA,38,https://mountains2beachmarathon.com/,m2b.jpg,56
Napa Valley Wine Country Trail Marathon,10/21/2017,Calistoga,CA,11,https://raceroster.com/events/2018/12894/2018-napa-valley-trail-marathon-half-marathon-10k,napa-valley-wine-country-trail.jpg,55
New Catalina Eco Marathon,11/18/2017,Avalon,CA,12,http://spectrumsportsevents.com/catalina-eco-marathon,new-catalina-eco.jpg,60.5
Operation Jack Marathon,12/26/2017,Oakland,CA,33,http://www.operationjack.org/races/operation-jack-marathon-los-angeles/,operation-jack.JPG,50.5
Oakland Marathon,3/25/2018,Los Angeles,CA,24,http://oaklandmarathon.com/,oakland.jpg,55
Santa Clarita Marathon,11/5/2017,Santa Clarita,CA,14,http://scmarathon.org/,parkway-motorcars-santa-clarita.jpg,64.5
Redding Marathon,1/14/2018,Redding,CA,25,http://www.reddingmarathon.org/,redding.jpg,43.5
REVEL Canyon City Marathon,11/4/2017,Azusa,CA,13,https://www.runrevel.com/rcc,revel-canyon-city.jpg,63.5
San Luis Obispo Marathon,4/29/2018,San Luis Obispo,CA,42,http://www.slomarathon.com/,san-luis-obispo.jpg,54
San Miguel Buzz Marathon,2/18/2018,San Miguel,CA,34,http://www.buzzmarathon.org/?RL=1,san-miguel-buzz.jpg,49.5
Los Angeles Marathon,3/18/2018,Los Angeles,CA,27,http://www.lamarathon.com/participant-info/general-information,la-marathon.jpg,61.5
Skyline to the Sea,10/7/2017,Los Gatos,CA,15,http://www.pctrailruns.com/event.aspx?RL=1&dtid=11008,skyline-to-the-sea.jpg,61
Stinson Beach Marathon,10/28/2017,Stinson Beach,CA,16,https://raceroster.com/events/2017/10713/2017-stinson-beach-marathon-half-marathon-7-mile,stinson-beach.jpg,58.5
Rock 'n' Roll Marathon,6/3/2018,San Diego,CA,41,http://www.runrocknroll.com/san-diego/?RL=1,suja-rock-n-roll.jpg,64
Surf City Marathon,2/4/2018,Huntington Beach,CA,35,https://www.active.com/huntington-beach-ca/running/distance-running-races/surf-city-marathon-and-half-marathon-2018,surf-city.jpg,58
Surfers Path Marathon,5/20/2018,Santa Cruz,CA,43,http://www.runsurferspath.com/,surfers-path.jpg,54
Surfers Point Marathon,11/12/2017,Ventura,CA,17,http://www.surferspointmarathon.com/?RL=1,surfers-point.jpg,62.5
Modesto Marathon,3/11/2018,Modesto,CA,30,http://modestomarathon.com/?RL=1,sutter-health-memorial-medical-center.jpg,57
North Face Endurance Challenge - California,11/18/2017,San Francisco,CA,18,https://www.thenorthface.com/get-outdoors/endurance-challenge/california.html?RL=1,north-face-endurance-challenge.jpg,51.5
San Francisco Marathon,7/22/2018,San Francisco,CA,45,http://www.thesfmarathon.com/?RL=1,san-francisco.jpg,61.5
Santa Rosa Marathon,8/27/2018,Santa Rosa,CA,46,https://www.thesantarosamarathon.com/?RL=1,santa-rosa.jpg,65.5
Two Cities Marathon,11/5/2017,Fresno,CA,19,http://www.twocitiesmarathon.com/,two-cities-marathon.jpg,57
Ventura Marathon,10/22/2017,Newport Beach,CA,40,https://venturamarathon.com/?RL=1,ventura-marathon.jpg,60.5
Wild Wild West Marathon,5/5/2018,Ventura,CA,20,http://lonepinechamber.org/event/2017-wild-wild-west-marathon/?RL=1,wild-west.jpg,59
OC Marathon,5/6/2018,Lone Pine,CA,44,http://www.ocmarathon.com/?RL=1,ocmarathon.jpg,61.5
